# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
kepeken-pilin 󱤙‍󱥎
kepeken-pimeja 󱤙‍󱥏
kepeken-pini 󱤙‍󱥐
kepeken-pipi 󱤙‍󱥑
kepeken-poka 󱤙‍󱥒
kepeken-poki 󱤙‍󱥓
kepeken-pona 󱤙‍󱥔
kepeken-pu 󱤙‍󱥕
kepeken-sama 󱤙‍󱥖
kepeken-seli 󱤙‍󱥗
kepeken-selo 󱤙‍󱥘
kepeken-seme 󱤙‍󱥙
kepeken-sewi 󱤙‍󱥚
kepeken-sijelo 󱤙‍󱥛
kepeken-sike 󱤙‍󱥜
kepeken-sin 󱤙‍󱥝
kepeken-sina 󱤙‍󱥞
kepeken-sinpin 󱤙‍󱥟
kepeken-sitelen 󱤙‍󱥠
kepeken-sona 󱤙‍󱥡
kepeken-soweli 󱤙‍󱥢
kepeken-suli 󱤙‍󱥣
kepeken-suno 󱤙‍󱥤
kepeken-supa 󱤙‍󱥥
kepeken-suwi 󱤙‍󱥦
kepeken-tan 󱤙‍󱥧
kepeken-taso 󱤙‍󱥨
kepeken-tawa 󱤙‍󱥩
kepeken-telo 󱤙‍󱥪
kepeken-tenpo 󱤙‍󱥫
kepeken-toki 󱤙‍󱥬
kepeken-tomo 󱤙‍󱥭
kepeken-tonsi 󱤙‍󱥾
kepeken-tu 󱤙‍󱥮
kepeken-unpa 󱤙‍󱥯
kepeken-uta 󱤙‍󱥰
kepeken-utala 󱤙‍󱥱
kepeken-walo 󱤙‍󱥲
kepeken-wan 󱤙‍󱥳
kepeken-waso 󱤙‍󱥴
kepeken-wawa 󱤙‍󱥵
kepeken-weka 󱤙‍󱥶
kepeken-wile 󱤙‍󱥷
kepeken-kijetesantakalu 󱤙‍󱦀
kepeken-kipisi 󱤙‍󱥻
kepeken-ku 󱤙‍󱦈
kepeken-leko 󱤙‍󱥼
kepeken-misikeke 󱤙‍󱦇
kepeken-n 󱤙‍󱦆
kepeken-namako 󱤙‍󱥸
kepeken-soko 󱤙‍󱦁
kepeken-epiku 󱤙‍󱦃
kepeken-jasima 󱤙‍󱥿
kepeken-lanpan 󱤙‍󱦅
kepeken-linluwi 󱤙‍󱦤
kepeken-majuna 󱤙‍󱦢
kepeken-meso 󱤙‍󱦂
kepeken-oko 󱤙‍󱥺
kepeken-su 󱤙‍󱦦
kepeken-a 󱤙󱦕󱤀
kepeken-akesi 󱤙󱦕󱤁
kepeken-ala 󱤙󱦕󱤂
kepeken-alasa 󱤙󱦕󱤃
kepeken-ale 󱤙󱦕󱤄
kepeken-anpa 󱤙󱦕󱤅
kepeken-ante 󱤙󱦕󱤆
kepeken-anu 󱤙󱦕󱤇
kepeken-awen 󱤙󱦕󱤈
kepeken-e 󱤙󱦕󱤉
kepeken-en 󱤙󱦕󱤊
kepeken-esun 󱤙󱦕󱤋
kepeken-ijo 󱤙󱦕󱤌
kepeken-ike 󱤙󱦕󱤍
kepeken-ilo 󱤙󱦕󱤎
kepeken-insa 󱤙󱦕󱤏
kepeken-jaki 󱤙󱦕󱤐
kepeken-jan 󱤙󱦕󱤑
kepeken-jelo 󱤙󱦕󱤒
kepeken-jo 󱤙󱦕󱤓
kepeken-kala 󱤙󱦕󱤔
kepeken-kalama 󱤙󱦕󱤕
kepeken-kama 󱤙󱦕󱤖
kepeken-kasi 󱤙󱦕󱤗
kepeken-ken 󱤙󱦕󱤘
kepeken-kepeken 󱤙󱦕󱤙
kepeken-kili 󱤙󱦕󱤚
kepeken-kin 󱤙󱦕󱥹
kepeken-kiwen 󱤙󱦕󱤛
kepeken-ko 󱤙󱦕󱤜
kepeken-kon 󱤙󱦕󱤝
kepeken-kule 󱤙󱦕󱤞
kepeken-kulupu 󱤙󱦕󱤟
kepeken-kute 󱤙󱦕󱤠
kepeken-la 󱤙󱦕󱤡
kepeken-lape 󱤙󱦕󱤢
kepeken-laso 󱤙󱦕󱤣
kepeken-lawa 󱤙󱦕󱤤
kepeken-len 󱤙󱦕󱤥
kepeken-lete 󱤙󱦕󱤦
kepeken-li 󱤙󱦕󱤧
kepeken-lili 󱤙󱦕󱤨
kepeken-linja 󱤙󱦕󱤩
kepeken-lipu 󱤙󱦕󱤪
kepeken-loje 󱤙󱦕󱤫
kepeken-lon 󱤙󱦕󱤬
kepeken-luka 󱤙󱦕󱤭
kepeken-lukin 󱤙󱦕󱤮
kepeken-lupa 󱤙󱦕󱤯
kepeken-ma 󱤙󱦕󱤰
kepeken-mama 󱤙󱦕󱤱
kepeken-mani 󱤙󱦕󱤲
kepeken-meli 󱤙󱦕󱤳
kepeken-mi 󱤙󱦕󱤴
kepeken-mije 󱤙󱦕󱤵
kepeken-moku 󱤙󱦕󱤶
kepeken-moli 󱤙󱦕󱤷
kepeken-monsi 󱤙󱦕󱤸
kepeken-monsuta 󱤙󱦕󱥽
kepeken-mu 󱤙󱦕󱤹
kepeken-mun 󱤙󱦕󱤺
kepeken-musi 󱤙󱦕󱤻
kepeken-mute 󱤙󱦕󱤼
kepeken-nanpa 󱤙󱦕󱤽
kepeken-nasa 󱤙󱦕󱤾
kepeken-nasin 󱤙󱦕󱤿
kepeken-nena 󱤙󱦕󱥀
kepeken-ni 󱤙󱦕󱥁
kepeken-nimi 󱤙󱦕󱥂
kepeken-noka 󱤙󱦕󱥃
kepeken-o 󱤙󱦕󱥄
kepeken-olin 󱤙󱦕󱥅
kepeken-ona 󱤙󱦕󱥆
kepeken-open 󱤙󱦕󱥇
kepeken-pakala 󱤙󱦕󱥈
kepeken-pali 󱤙󱦕󱥉
kepeken-palisa 󱤙󱦕󱥊
kepeken-pan 󱤙󱦕󱥋
kepeken-pana 󱤙󱦕󱥌
kepeken-pi 󱤙󱦕󱥍
kepeken-pilin 󱤙󱦕󱥎
kepeken-pimeja 󱤙󱦕󱥏
kepeken-pini 󱤙󱦕󱥐
kepeken-pipi 󱤙󱦕󱥑
kepeken-poka 󱤙󱦕󱥒
kepeken-poki 󱤙󱦕󱥓
kepeken-pona 󱤙󱦕󱥔
kepeken-pu 󱤙󱦕󱥕
kepeken-sama 󱤙󱦕󱥖
kepeken-seli 󱤙󱦕󱥗
kepeken-selo 󱤙󱦕󱥘
kepeken-seme 󱤙󱦕󱥙
kepeken-sewi 󱤙󱦕󱥚
kepeken-sijelo 󱤙󱦕󱥛
kepeken-sike 󱤙󱦕󱥜
kepeken-sin 󱤙󱦕󱥝
kepeken-sina 󱤙󱦕󱥞
kepeken-sinpin 󱤙󱦕󱥟
kepeken-sitelen 󱤙󱦕󱥠
kepeken-sona 󱤙󱦕󱥡
kepeken-soweli 󱤙󱦕󱥢
kepeken-suli 󱤙󱦕󱥣
kepeken-suno 󱤙󱦕󱥤
kepeken-supa 󱤙󱦕󱥥
kepeken-suwi 󱤙󱦕󱥦
kepeken-tan 󱤙󱦕󱥧
kepeken-taso 󱤙󱦕󱥨
kepeken-tawa 󱤙󱦕󱥩
kepeken-telo 󱤙󱦕󱥪
kepeken-tenpo 󱤙󱦕󱥫
kepeken-toki 󱤙󱦕󱥬
kepeken-tomo 󱤙󱦕󱥭
kepeken-tonsi 󱤙󱦕󱥾
kepeken-tu 󱤙󱦕󱥮
kepeken-unpa 󱤙󱦕󱥯
kepeken-uta 󱤙󱦕󱥰
kepeken-utala 󱤙󱦕󱥱
kepeken-walo 󱤙󱦕󱥲
kepeken-wan 󱤙󱦕󱥳
kepeken-waso 󱤙󱦕󱥴
kepeken-wawa 󱤙󱦕󱥵
kepeken-weka 󱤙󱦕󱥶
kepeken-wile 󱤙󱦕󱥷
kepeken-kijetesantakalu 󱤙󱦕󱦀
kepeken-kipisi 󱤙󱦕󱥻
kepeken-ku 󱤙󱦕󱦈
kepeken-leko 󱤙󱦕󱥼
kepeken-misikeke 󱤙󱦕󱦇
kepeken-n 󱤙󱦕󱦆
kepeken-namako 󱤙󱦕󱥸
kepeken-soko 󱤙󱦕󱦁
kepeken-epiku 󱤙󱦕󱦃
kepeken-jasima 󱤙󱦕󱥿
kepeken-lanpan 󱤙󱦕󱦅
kepeken-linluwi 󱤙󱦕󱦤
kepeken-majuna 󱤙󱦕󱦢
kepeken-meso 󱤙󱦕󱦂
kepeken-oko 󱤙󱦕󱥺
kepeken-su 󱤙󱦕󱦦
kepeken-a 󱤙󱦖󱤀
kepeken-akesi 󱤙󱦖󱤁
kepeken-ala 󱤙󱦖󱤂
kepeken-alasa 󱤙󱦖󱤃
kepeken-ale 󱤙󱦖󱤄
kepeken-anpa 󱤙󱦖󱤅
kepeken-ante 󱤙󱦖󱤆
kepeken-anu 󱤙󱦖󱤇
kepeken-awen 󱤙󱦖󱤈
kepeken-e 󱤙󱦖󱤉
kepeken-en 󱤙󱦖󱤊
kepeken-esun 󱤙󱦖󱤋
kepeken-ijo 󱤙󱦖󱤌
kepeken-ike 󱤙󱦖󱤍
kepeken-ilo 󱤙󱦖󱤎
kepeken-insa 󱤙󱦖󱤏
kepeken-jaki 󱤙󱦖󱤐
kepeken-jan 󱤙󱦖󱤑
kepeken-jelo 󱤙󱦖󱤒
kepeken-jo 󱤙󱦖󱤓
kepeken-kala 󱤙󱦖󱤔
kepeken-kalama 󱤙󱦖󱤕
kepeken-kama 󱤙󱦖󱤖
kepeken-kasi 󱤙󱦖󱤗
kepeken-ken 󱤙󱦖󱤘
kepeken-kepeken 󱤙󱦖󱤙
kepeken-kili 󱤙󱦖󱤚
kepeken-kin 󱤙󱦖󱥹
kepeken-kiwen 󱤙󱦖󱤛
kepeken-ko 󱤙󱦖󱤜
kepeken-kon 󱤙󱦖󱤝
kepeken-kule 󱤙󱦖󱤞
kepeken-kulupu 󱤙󱦖󱤟
kepeken-kute 󱤙󱦖󱤠
kepeken-la 󱤙󱦖󱤡
kepeken-lape 󱤙󱦖󱤢
kepeken-laso 󱤙󱦖󱤣
kepeken-lawa 󱤙󱦖󱤤
kepeken-len 󱤙󱦖󱤥
kepeken-lete 󱤙󱦖󱤦
kepeken-li 󱤙󱦖󱤧
kepeken-lili 󱤙󱦖󱤨
kepeken-linja 󱤙󱦖󱤩
kepeken-lipu 󱤙󱦖󱤪
kepeken-loje 󱤙󱦖󱤫
kepeken-lon 󱤙󱦖󱤬
kepeken-luka 󱤙󱦖󱤭
kepeken-lukin 󱤙󱦖󱤮
kepeken-lupa 󱤙󱦖󱤯
kepeken-ma 󱤙󱦖󱤰
kepeken-mama 󱤙󱦖󱤱
kepeken-mani 󱤙󱦖󱤲
kepeken-meli 󱤙󱦖󱤳
kepeken-mi 󱤙󱦖󱤴
kepeken-mije 󱤙󱦖󱤵
kepeken-moku 󱤙󱦖󱤶
kepeken-moli 󱤙󱦖󱤷
kepeken-monsi 󱤙󱦖󱤸
kepeken-monsuta 󱤙󱦖󱥽
kepeken-mu 󱤙󱦖󱤹
kepeken-mun 󱤙󱦖󱤺
kepeken-musi 󱤙󱦖󱤻
kepeken-mute 󱤙󱦖󱤼
kepeken-nanpa 󱤙󱦖󱤽
kepeken-nasa 󱤙󱦖󱤾
kepeken-nasin 󱤙󱦖󱤿
kepeken-nena 󱤙󱦖󱥀
kepeken-ni 󱤙󱦖󱥁
kepeken-nimi 󱤙󱦖󱥂
kepeken-noka 󱤙󱦖󱥃
kepeken-o 󱤙󱦖󱥄
kepeken-olin 󱤙󱦖󱥅
kepeken-ona 󱤙󱦖󱥆
kepeken-open 󱤙󱦖󱥇
kepeken-pakala 󱤙󱦖󱥈
kepeken-pali 󱤙󱦖󱥉
kepeken-palisa 󱤙󱦖󱥊
kepeken-pan 󱤙󱦖󱥋
kepeken-pana 󱤙󱦖󱥌
kepeken-pi 󱤙󱦖󱥍
kepeken-pilin 󱤙󱦖󱥎
kepeken-pimeja 󱤙󱦖󱥏
kepeken-pini 󱤙󱦖󱥐
kepeken-pipi 󱤙󱦖󱥑
kepeken-poka 󱤙󱦖󱥒
kepeken-poki 󱤙󱦖󱥓
kepeken-pona 󱤙󱦖󱥔
kepeken-pu 󱤙󱦖󱥕
kepeken-sama 󱤙󱦖󱥖
kepeken-seli 󱤙󱦖󱥗
kepeken-selo 󱤙󱦖󱥘
kepeken-seme 󱤙󱦖󱥙
kepeken-sewi 󱤙󱦖󱥚
kepeken-sijelo 󱤙󱦖󱥛
kepeken-sike 󱤙󱦖󱥜
kepeken-sin 󱤙󱦖󱥝
kepeken-sina 󱤙󱦖󱥞
kepeken-sinpin 󱤙󱦖󱥟
kepeken-sitelen 󱤙󱦖󱥠
kepeken-sona 󱤙󱦖󱥡
kepeken-soweli 󱤙󱦖󱥢
kepeken-suli 󱤙󱦖󱥣
kepeken-suno 󱤙󱦖󱥤
kepeken-supa 󱤙󱦖󱥥
kepeken-suwi 󱤙󱦖󱥦
kepeken-tan 󱤙󱦖󱥧
kepeken-taso 󱤙󱦖󱥨
kepeken-tawa 󱤙󱦖󱥩
kepeken-telo 󱤙󱦖󱥪
kepeken-tenpo 󱤙󱦖󱥫
kepeken-toki 󱤙󱦖󱥬
kepeken-tomo 󱤙󱦖󱥭
kepeken-tonsi 󱤙󱦖󱥾
kepeken-tu 󱤙󱦖󱥮
kepeken-unpa 󱤙󱦖󱥯
kepeken-uta 󱤙󱦖󱥰
kepeken-utala 󱤙󱦖󱥱
kepeken-walo 󱤙󱦖󱥲
kepeken-wan 󱤙󱦖󱥳
kepeken-waso 󱤙󱦖󱥴
kepeken-wawa 󱤙󱦖󱥵
kepeken-weka 󱤙󱦖󱥶
kepeken-wile 󱤙󱦖󱥷
kepeken-kijetesantakalu 󱤙󱦖󱦀
kepeken-kipisi 󱤙󱦖󱥻
kepeken-ku 󱤙󱦖󱦈
kepeken-leko 󱤙󱦖󱥼
kepeken-misikeke 󱤙󱦖󱦇
kepeken-n 󱤙󱦖󱦆
kepeken-namako 󱤙󱦖󱥸
kepeken-soko 󱤙󱦖󱦁
kepeken-epiku 󱤙󱦖󱦃
kepeken-jasima 󱤙󱦖󱥿
kepeken-lanpan 󱤙󱦖󱦅
kepeken-linluwi 󱤙󱦖󱦤
kepeken-majuna 󱤙󱦖󱦢
kepeken-meso 󱤙󱦖󱦂
kepeken-oko 󱤙󱦖󱥺
kepeken-su 󱤙󱦖󱦦
kili 󱤚
kili-a 󱤚‍󱤀
kili-akesi 󱤚‍󱤁
kili-ala 󱤚‍󱤂
kili-alasa 󱤚‍󱤃
kili-ale 󱤚‍󱤄
kili-anpa 󱤚‍󱤅
kili-ante 󱤚‍󱤆
kili-anu 󱤚‍󱤇
kili-awen 󱤚‍󱤈
kili-e 󱤚‍󱤉
kili-en 󱤚‍󱤊
kili-esun 󱤚‍󱤋
kili-ijo 󱤚‍󱤌
kili-ike 󱤚‍󱤍
kili-ilo 󱤚‍󱤎
kili-insa 󱤚‍󱤏
kili-jaki 󱤚‍󱤐
kili-jan 󱤚‍󱤑
kili-jelo 󱤚‍󱤒
kili-jo 󱤚‍󱤓
kili-kala 󱤚‍󱤔
kili-kalama 󱤚‍󱤕
kili-kama 󱤚‍󱤖
kili-kasi 󱤚‍󱤗
kili-ken 󱤚‍󱤘
kili-kepeken 󱤚‍󱤙
kili-kili 󱤚‍󱤚
kili-kin 󱤚‍󱥹
kili-kiwen 󱤚‍󱤛
kili-ko 󱤚‍󱤜
kili-kon 󱤚‍󱤝
kili-kule 󱤚‍󱤞
kili-kulupu 󱤚‍󱤟
kili-kute 󱤚‍󱤠
kili-la 󱤚‍󱤡
kili-lape 󱤚‍󱤢
kili-laso 󱤚‍󱤣
kili-lawa 󱤚‍󱤤
kili-len 󱤚‍󱤥
kili-lete 󱤚‍󱤦
kili-li 󱤚‍󱤧
kili-lili 󱤚‍󱤨
kili-linja 󱤚‍󱤩
kili-lipu 󱤚‍󱤪
kili-loje 󱤚‍󱤫
kili-lon 󱤚‍󱤬
kili-luka 󱤚‍󱤭
kili-lukin 󱤚‍󱤮
kili-lupa 󱤚‍󱤯
kili-ma 󱤚‍󱤰
kili-mama 󱤚‍󱤱
kili-mani 󱤚‍󱤲
kili-meli 󱤚‍󱤳
kili-mi 󱤚‍󱤴
kili-mije 󱤚‍󱤵
kili-moku 󱤚‍󱤶
kili-moli 󱤚‍󱤷
kili-monsi 󱤚‍󱤸
kili-monsuta 󱤚‍󱥽
kili-mu 󱤚‍󱤹
kili-mun 󱤚‍󱤺
kili-musi 󱤚‍󱤻
kili-mute 󱤚‍󱤼
kili-nanpa 󱤚‍󱤽
kili-nasa 󱤚‍󱤾
kili-nasin 󱤚‍󱤿
kili-nena 󱤚‍󱥀
kili-ni 󱤚‍󱥁
kili-nimi 󱤚‍󱥂
kili-noka 󱤚‍󱥃
kili-o 󱤚‍󱥄
kili-olin 󱤚‍󱥅
kili-ona 󱤚‍󱥆
kili-open 󱤚‍󱥇
kili-pakala 󱤚‍󱥈
kili-pali 󱤚‍󱥉
kili-palisa 󱤚‍󱥊
kili-pan 󱤚‍󱥋
kili-pana 󱤚‍󱥌
kili-pi 󱤚‍󱥍
kili-pilin 󱤚‍󱥎
kili-pimeja 󱤚‍󱥏
kili-pini 󱤚‍󱥐
kili-pipi 󱤚‍󱥑
kili-poka 󱤚‍󱥒
kili-poki 󱤚‍󱥓
kili-pona 󱤚‍󱥔
kili-pu 󱤚‍󱥕
kili-sama 󱤚‍󱥖
kili-seli 󱤚‍󱥗
kili-selo 󱤚‍󱥘
kili-seme 󱤚‍󱥙
kili-sewi 󱤚‍󱥚
kili-sijelo 󱤚‍󱥛
kili-sike 󱤚‍󱥜
kili-sin 󱤚‍󱥝
kili-sina 󱤚‍󱥞
kili-sinpin 󱤚‍󱥟
kili-sitelen 󱤚‍󱥠
kili-sona 󱤚‍󱥡
kili-soweli 󱤚‍󱥢
kili-suli 󱤚‍󱥣
kili-suno 󱤚‍󱥤
kili-supa 󱤚‍󱥥
kili-suwi 󱤚‍󱥦
kili-tan 󱤚‍󱥧
kili-taso 󱤚‍󱥨
kili-tawa 󱤚‍󱥩
kili-telo 󱤚‍󱥪
kili-tenpo 󱤚‍󱥫
kili-toki 󱤚‍󱥬
kili-tomo 󱤚‍󱥭
kili-tonsi 󱤚‍󱥾
kili-tu 󱤚‍󱥮
kili-unpa 󱤚‍󱥯
kili-uta 󱤚‍󱥰
kili-utala 󱤚‍󱥱
kili-walo 󱤚‍󱥲
kili-wan 󱤚‍󱥳
kili-waso 󱤚‍󱥴
kili-wawa 󱤚‍󱥵
kili-weka 󱤚‍󱥶
kili-wile 󱤚‍󱥷
kili-kijetesantakalu 󱤚‍󱦀
kili-kipisi 󱤚‍󱥻
kili-ku 󱤚‍󱦈
kili-leko 󱤚‍󱥼
kili-misikeke 󱤚‍󱦇
kili-n 󱤚‍󱦆
kili-namako 󱤚‍󱥸
kili-soko 󱤚‍󱦁
kili-epiku 󱤚‍󱦃
kili-jasima 󱤚‍󱥿
kili-lanpan 󱤚‍󱦅
kili-linluwi 󱤚‍󱦤
kili-majuna 󱤚‍󱦢
kili-meso 󱤚‍󱦂
kili-oko 󱤚‍󱥺
kili-su 󱤚‍󱦦
kili-a 󱤚󱦕󱤀
kili-akesi 󱤚󱦕󱤁
kili-ala 󱤚󱦕󱤂
kili-alasa 󱤚󱦕󱤃
kili-ale 󱤚󱦕󱤄
kili-anpa 󱤚󱦕󱤅
kili-ante 󱤚󱦕󱤆
kili-anu 󱤚󱦕󱤇
kili-awen 󱤚󱦕󱤈
kili-e 󱤚󱦕󱤉
kili-en 󱤚󱦕󱤊
kili-esun 󱤚󱦕󱤋
kili-ijo 󱤚󱦕󱤌
kili-ike 󱤚󱦕󱤍
kili-ilo 󱤚󱦕󱤎
kili-insa 󱤚󱦕󱤏
kili-jaki 󱤚󱦕󱤐
kili-jan 󱤚󱦕󱤑
kili-jelo 󱤚󱦕󱤒
kili-jo 󱤚󱦕󱤓
kili-kala 󱤚󱦕󱤔
kili-kalama 󱤚󱦕󱤕
kili-kama 󱤚󱦕󱤖
kili-kasi 󱤚󱦕󱤗
kili-ken 󱤚󱦕󱤘
kili-kepeken 󱤚󱦕󱤙
kili-kili 󱤚󱦕󱤚
kili-kin 󱤚󱦕󱥹
kili-kiwen 󱤚󱦕󱤛
kili-ko 󱤚󱦕󱤜
kili-kon 󱤚󱦕󱤝
kili-kule 󱤚󱦕󱤞
kili-kulupu 󱤚󱦕󱤟
kili-kute 󱤚󱦕󱤠
kili-la 󱤚󱦕󱤡
kili-lape 󱤚󱦕󱤢
kili-laso 󱤚󱦕󱤣
kili-lawa 󱤚󱦕󱤤
kili-len 󱤚󱦕󱤥
kili-lete 󱤚󱦕󱤦
kili-li 󱤚󱦕󱤧
kili-lili 󱤚󱦕󱤨
kili-linja 󱤚󱦕󱤩
kili-lipu 󱤚󱦕󱤪
kili-loje 󱤚󱦕󱤫
kili-lon 󱤚󱦕󱤬
kili-luka 󱤚󱦕󱤭
kili-lukin 󱤚󱦕󱤮
kili-lupa 󱤚󱦕󱤯
kili-ma 󱤚󱦕󱤰
kili-mama 󱤚󱦕󱤱
kili-mani 󱤚󱦕󱤲
kili-meli 󱤚󱦕󱤳
kili-mi 󱤚󱦕󱤴
kili-mije 󱤚󱦕󱤵
kili-moku 󱤚󱦕󱤶
kili-moli 󱤚󱦕󱤷
kili-monsi 󱤚󱦕󱤸
kili-monsuta 󱤚󱦕󱥽
kili-mu 󱤚󱦕󱤹
kili-mun 󱤚󱦕󱤺
kili-musi 󱤚󱦕󱤻
kili-mute 󱤚󱦕󱤼
kili-nanpa 󱤚󱦕󱤽
kili-nasa 󱤚󱦕󱤾
kili-nasin 󱤚󱦕󱤿
kili-nena 󱤚󱦕󱥀
kili-ni 󱤚󱦕󱥁
kili-nimi 󱤚󱦕󱥂
kili-noka 󱤚󱦕󱥃
kili-o 󱤚󱦕󱥄
kili-olin 󱤚󱦕󱥅
kili-ona 󱤚󱦕󱥆
kili-open 󱤚󱦕󱥇
kili-pakala 󱤚󱦕󱥈
kili-pali 󱤚󱦕󱥉
kili-palisa 󱤚󱦕󱥊
kili-pan 󱤚󱦕󱥋
kili-pana 󱤚󱦕󱥌
kili-pi 󱤚󱦕󱥍
kili-pilin 󱤚󱦕󱥎
kili-pimeja 󱤚󱦕󱥏
kili-pini 󱤚󱦕󱥐
kili-pipi 󱤚󱦕󱥑
kili-poka 󱤚󱦕󱥒
kili-poki 󱤚󱦕󱥓
kili-pona 󱤚󱦕󱥔
kili-pu 󱤚󱦕󱥕
kili-sama 󱤚󱦕󱥖
kili-seli 󱤚󱦕󱥗
kili-selo 󱤚󱦕󱥘
kili-seme 󱤚󱦕󱥙
kili-sewi 󱤚󱦕󱥚
kili-sijelo 󱤚󱦕󱥛
kili-sike 󱤚󱦕󱥜
kili-sin 󱤚󱦕󱥝
kili-sina 󱤚󱦕󱥞
kili-sinpin 󱤚󱦕󱥟
kili-sitelen 󱤚󱦕󱥠
kili-sona 󱤚󱦕󱥡
kili-soweli 󱤚󱦕󱥢
kili-suli 󱤚󱦕󱥣
kili-suno 󱤚󱦕󱥤
kili-supa 󱤚󱦕󱥥
kili-suwi 󱤚󱦕󱥦
kili-tan 󱤚󱦕󱥧
kili-taso 󱤚󱦕󱥨
kili-tawa 󱤚󱦕󱥩
kili-telo 󱤚󱦕󱥪
kili-tenpo 󱤚󱦕󱥫
kili-toki 󱤚󱦕󱥬
kili-tomo 󱤚󱦕󱥭
kili-tonsi 󱤚󱦕󱥾
kili-tu 󱤚󱦕󱥮
kili-unpa 󱤚󱦕󱥯
kili-uta 󱤚󱦕󱥰
kili-utala 󱤚󱦕󱥱
kili-walo 󱤚󱦕󱥲
kili-wan 󱤚󱦕󱥳
kili-waso 󱤚󱦕󱥴
kili-wawa 󱤚󱦕󱥵
kili-weka 󱤚󱦕󱥶
kili-wile 󱤚󱦕󱥷
kili-kijetesantakalu 󱤚󱦕󱦀
kili-kipisi 󱤚󱦕󱥻
kili-ku 󱤚󱦕󱦈
kili-leko 󱤚󱦕󱥼
kili-misikeke 󱤚󱦕󱦇
kili-n 󱤚󱦕󱦆
kili-namako 󱤚󱦕󱥸
kili-soko 󱤚󱦕󱦁
kili-epiku 󱤚󱦕󱦃
kili-jasima 󱤚󱦕󱥿
kili-lanpan 󱤚󱦕󱦅
kili-linluwi 󱤚󱦕󱦤
kili-majuna 󱤚󱦕󱦢
kili-meso 󱤚󱦕󱦂
kili-oko 󱤚󱦕󱥺
kili-su 󱤚󱦕󱦦
kili-a 󱤚󱦖󱤀
kili-akesi 󱤚󱦖󱤁
kili-ala 󱤚󱦖󱤂
kili-alasa 󱤚󱦖󱤃
kili-ale 󱤚󱦖󱤄
kili-anpa 󱤚󱦖󱤅
kili-ante 󱤚󱦖󱤆
kili-anu 󱤚󱦖󱤇
kili-awen 󱤚󱦖󱤈
kili-e 󱤚󱦖󱤉
kili-en 󱤚󱦖󱤊
kili-esun 󱤚󱦖󱤋
kili-ijo 󱤚󱦖󱤌
kili-ike 󱤚󱦖󱤍
kili-ilo 󱤚󱦖󱤎
kili-insa 󱤚󱦖󱤏
kili-jaki 󱤚󱦖󱤐
kili-jan 󱤚󱦖󱤑
kili-jelo 󱤚󱦖󱤒
kili-jo 󱤚󱦖󱤓
kili-kala 󱤚󱦖󱤔
kili-kalama 󱤚󱦖󱤕
kili-kama 󱤚󱦖󱤖
kili-kasi 󱤚󱦖󱤗
kili-ken 󱤚󱦖󱤘
kili-kepeken 󱤚󱦖󱤙
kili-kili 󱤚󱦖󱤚
kili-kin 󱤚󱦖󱥹
kili-kiwen 󱤚󱦖󱤛
kili-ko 󱤚󱦖󱤜
kili-kon 󱤚󱦖󱤝
kili-kule 󱤚󱦖󱤞
kili-kulupu 󱤚󱦖󱤟
kili-kute 󱤚󱦖󱤠
kili-la 󱤚󱦖󱤡
kili-lape 󱤚󱦖󱤢
kili-laso 󱤚󱦖󱤣
kili-lawa 󱤚󱦖󱤤
kili-len 󱤚󱦖󱤥
kili-lete 󱤚󱦖󱤦
kili-li 󱤚󱦖󱤧
kili-lili 󱤚󱦖󱤨
kili-linja 󱤚󱦖󱤩
kili-lipu 󱤚󱦖󱤪
kili-loje 󱤚󱦖󱤫
kili-lon 󱤚󱦖󱤬
kili-luka 󱤚󱦖󱤭
kili-lukin 󱤚󱦖󱤮
kili-lupa 󱤚󱦖󱤯
kili-ma 󱤚󱦖󱤰
kili-mama 󱤚󱦖󱤱
kili-mani 󱤚󱦖󱤲
kili-meli 󱤚󱦖󱤳
kili-mi 󱤚󱦖󱤴
kili-mije 󱤚󱦖󱤵
kili-moku 󱤚󱦖󱤶
kili-moli 󱤚󱦖󱤷
kili-monsi 󱤚󱦖󱤸
kili-monsuta 󱤚󱦖󱥽
kili-mu 󱤚󱦖󱤹
kili-mun 󱤚󱦖󱤺
kili-musi 󱤚󱦖󱤻
kili-mute 󱤚󱦖󱤼
kili-nanpa 󱤚󱦖󱤽
kili-nasa 󱤚󱦖󱤾
kili-nasin 󱤚󱦖󱤿
kili-nena 󱤚󱦖󱥀
kili-ni 󱤚󱦖󱥁
kili-nimi 󱤚󱦖󱥂
kili-noka 󱤚󱦖󱥃
kili-o 󱤚󱦖󱥄
kili-olin 󱤚󱦖󱥅
kili-ona 󱤚󱦖󱥆
kili-open 󱤚󱦖󱥇
kili-pakala 󱤚󱦖󱥈
kili-pali 󱤚󱦖󱥉
kili-palisa 󱤚󱦖󱥊
kili-pan 󱤚󱦖󱥋
