# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
akesi-ike 󱤁󱦕󱤍
akesi-ilo 󱤁󱦕󱤎
akesi-insa 󱤁󱦕󱤏
akesi-jaki 󱤁󱦕󱤐
akesi-jan 󱤁󱦕󱤑
akesi-jelo 󱤁󱦕󱤒
akesi-jo 󱤁󱦕󱤓
akesi-kala 󱤁󱦕󱤔
akesi-kalama 󱤁󱦕󱤕
akesi-kama 󱤁󱦕󱤖
akesi-kasi 󱤁󱦕󱤗
akesi-ken 󱤁󱦕󱤘
akesi-kepeken 󱤁󱦕󱤙
akesi-kili 󱤁󱦕󱤚
akesi-kin 󱤁󱦕󱥹
akesi-kiwen 󱤁󱦕󱤛
akesi-ko 󱤁󱦕󱤜
akesi-kon 󱤁󱦕󱤝
akesi-kule 󱤁󱦕󱤞
akesi-kulupu 󱤁󱦕󱤟
akesi-kute 󱤁󱦕󱤠
akesi-la 󱤁󱦕󱤡
akesi-lape 󱤁󱦕󱤢
akesi-laso 󱤁󱦕󱤣
akesi-lawa 󱤁󱦕󱤤
akesi-len 󱤁󱦕󱤥
akesi-lete 󱤁󱦕󱤦
akesi-li 󱤁󱦕󱤧
akesi-lili 󱤁󱦕󱤨
akesi-linja 󱤁󱦕󱤩
akesi-lipu 󱤁󱦕󱤪
akesi-loje 󱤁󱦕󱤫
akesi-lon 󱤁󱦕󱤬
akesi-luka 󱤁󱦕󱤭
akesi-lukin 󱤁󱦕󱤮
akesi-lupa 󱤁󱦕󱤯
akesi-ma 󱤁󱦕󱤰
akesi-mama 󱤁󱦕󱤱
akesi-mani 󱤁󱦕󱤲
akesi-meli 󱤁󱦕󱤳
akesi-mi 󱤁󱦕󱤴
akesi-mije 󱤁󱦕󱤵
akesi-moku 󱤁󱦕󱤶
akesi-moli 󱤁󱦕󱤷
akesi-monsi 󱤁󱦕󱤸
akesi-monsuta 󱤁󱦕󱥽
akesi-mu 󱤁󱦕󱤹
akesi-mun 󱤁󱦕󱤺
akesi-musi 󱤁󱦕󱤻
akesi-mute 󱤁󱦕󱤼
akesi-nanpa 󱤁󱦕󱤽
akesi-nasa 󱤁󱦕󱤾
akesi-nasin 󱤁󱦕󱤿
akesi-nena 󱤁󱦕󱥀
akesi-ni 󱤁󱦕󱥁
akesi-nimi 󱤁󱦕󱥂
akesi-noka 󱤁󱦕󱥃
akesi-o 󱤁󱦕󱥄
akesi-olin 󱤁󱦕󱥅
akesi-ona 󱤁󱦕󱥆
akesi-open 󱤁󱦕󱥇
akesi-pakala 󱤁󱦕󱥈
akesi-pali 󱤁󱦕󱥉
akesi-palisa 󱤁󱦕󱥊
akesi-pan 󱤁󱦕󱥋
akesi-pana 󱤁󱦕󱥌
akesi-pi 󱤁󱦕󱥍
akesi-pilin 󱤁󱦕󱥎
akesi-pimeja 󱤁󱦕󱥏
akesi-pini 󱤁󱦕󱥐
akesi-pipi 󱤁󱦕󱥑
akesi-poka 󱤁󱦕󱥒
akesi-poki 󱤁󱦕󱥓
akesi-pona 󱤁󱦕󱥔
akesi-pu 󱤁󱦕󱥕
akesi-sama 󱤁󱦕󱥖
akesi-seli 󱤁󱦕󱥗
akesi-selo 󱤁󱦕󱥘
akesi-seme 󱤁󱦕󱥙
akesi-sewi 󱤁󱦕󱥚
akesi-sijelo 󱤁󱦕󱥛
